Item Number,Item Name,Buy,Sell,Inventory,Asset Acct,Income Acct,Expense/COS Acct,Description,Use Desc. On Invoice,Custom List 1,Custom List 2,Custom List 3,Custom Field 1,Custom Field 2,Custom Field 3,Primary Supplier,Supplier Item Number,Tax Code When Bought,Buy Unit Measure,No. Items/Buy Unit,Reorder Quantity,Minimum Level,Selling Price,Sell Unit Measure,Tax Code When Sold,Sell Price Inclusive,Sales Tax Calc. Method,No. Items/Sell Unit,Quantity Break 1,Quantity Break 2,Quantity Break 3,Quantity Break 4,Quantity Break 5,"Price Level A, Qty Break 1","Price Level B, Qty Break 1","Price Level C, Qty Break 1","Price Level D, Qty Break 1","Price Level E, Qty Break 1","Price Level F, Qty Break 1","Price Level A, Qty Break 2","Price Level B, Qty Break 2","Price Level C, Qty Break 2","Price Level D, Qty Break 2","Price Level E, Qty Break 2","Price Level F, Qty Break 2","Price Level A, Qty Break 3","Price Level B, Qty Break 3","Price Level C, Qty Break 3","Price Level D, Qty Break 3","Price Level E, Qty Break 3","Price Level F, Qty Break 3","Price Level A, Qty Break 4","Price Level B, Qty Break 4","Price Level C, Qty Break 4","Price Level D, Qty Break 4","Price Level E, Qty Break 4","Price Level F, Qty Break 4","Price Level A, Qty Break 5","Price Level B, Qty Break 5","Price Level C, Qty Break 5","Price Level D, Qty Break 5","Price Level E, Qty Break 5","Price Level F, Qty Break 5",Inactive Item,Standard Cost,Default Ship/Sell Location,Default Recvd/Auto Location
CF0060X,CASW4BRN- 4oz single wall KR,B,S,I,11591,41071,51081,Cup 4oz single wall KRAFT- 1000/CTN\r\n,X,,,NIL,SLV,SLV50 X 20,,MPM Marketing Service,CASW4BRN,GST,CTN,1,0,0,4.08,SLV,GST,,0,1,0,0,0,0,0,4.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,25.09,,
VB0048,TA.350Lx250W Vacuum Bag,B,S,I,11591,41071,51081,350Lx250W Vacuum Bag 100/pc,X,Bags,Vacuum Bag,NIL,PAK,PAK100,,Tailored Packaging (WA) Pty Ltd,VAC1410,GST,CTN,1,0,0,143.31,PAK,GST,,0,10,0,0,0,0,0,143.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,106,,
VB0049,TA.500Lx250W Vacuum Bag,B,S,I,11591,41071,51081,500Lx250W Vacuum Bag 100/pc,X,Bags,Vacuum Bag,NIL,PAK,PAK100,,Tailored Packaging (WA) Pty Ltd,VAC2010,GST,CTN,1,0,0,100.32,PAK,GST,,0,5,0,0,0,0,0,100.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,74.2,,
CUT0198,BI. PSM Knife/Fork/Napkin Set,B,S,I,11591,41071,51081,"6"" PSM KNIFE, FORK & NAPKIN SET",X,Tabletops,Cutlery Eco,NIL,CTN,250/CTN,,Biopak,GD-6KFN-B,GST,CTN,1,0,0,54.98,CTN,GST,,0,1,0,0,0,0,0,54.984,53.27,53.27,53.27,53.27,53.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,42.3,,
CUT0199,BI.PSM K/F/N SALT&PAPPER,B,S,I,11591,41071,51081,"6 INCH PSM KNIFE, FORK, NAPKIN, SALT AND PEPPER SET",X,Tabletops,Cutlery Eco,NIL,CTN,250/CTN,,Biopak,GD-6KFNSP-B,GST,CTN,1,0,0,60.78,CTN,GST,,0,1,0,0,0,0,0,60.775,53.27,53.27,53.27,53.27,53.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,46.75,,
CF0060,MP.CA-SW4BRN...KRAFT,B,S,I,11591,41071,51081,Single Wall Espresso Babycino Cup Brown Kraft \r\n 4 oz\r\n118 ml,X,Cups,Paper Coffee Cups & Lids,NIL,SLV,50/SLV x 20,,MPM Marketing Service,CA-SW4-BRN,GST,CTN,20,0,0,3.93,SLV,GST,,0,1,0,0,0,0,0,3.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,58.08,,
TR0046,TH5735.Thermal Till Roll 57x35,B,S,I,11591,41071,51081,Thermal Till Roll 57x35 - 50/CTN\r\n,X,,,NIL,CTN,CTN50,,Tailored Packaging (WA) Pty Ltd,TH5735,GST,CTN,1,0,0,19.85,CTN,GST,,0,1,0,0,0,0,0,19.85,61.5,61.5,61.5,61.5,61.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,45.8,,
QDW0019,FP.CND0170..Q WHT Dinner 1/4 ,B,S,I,11591,41071,51081,Quilted Dinner 2ply White Napkin QTR fold,X,Napkin,Dinner Napkin,NIL,CTN,100/SLV x 10,,FPA,C-ND0170,GST,CTN,1,0,0,35,CTN,GST,,0,1,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,25.89,,
FMT0031,MBL.2403248..9x11 Blkfoam,B,S,I,11591,41071,51081,Black foam tray 11 x 9,X,Foam Containers,Foam Plate,Containers,SLV,125/SLV x 4,,MBL Food Services,2403248,GST,CTN,4,0,0,15.87,SLV,GST,,0,1,0,0,0,0,0,15.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,46.95,,
PIZZA0013B,FP.CPZ7313.Pizza box Brown 13,B,S,I,11591,41071,51081,Pizza box Brown 13 inch White,X,Paper Containers and boxes,Pizza Boxes,Containers,SLV,50/Pack,,FPA,C-PZ7313,GST,SLV,1,0,0,27.85,SLV,GST,,0,1,0,0,0,0,0,27.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,20.6,,
PIZZA0010B,FP.CPZ7310.Pizza box Brown10,B,S,I,11591,41071,51081,Pizza box Brown 10 inch,X,Paper Containers and boxes,Pizza Boxes,Containers,SLV,50/Pack,,FPA,C-PZ7310,GST,SLV,1,0,0,18.78,SLV,GST,,0,1,0,0,0,0,0,18.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,13.89,,
CUT0114,MP.CAPCBK.. Eleg. Knife BLK,B,S,I,11591,41071,51081,Elegance Premium Plastic Knives Black\r\n Eco Smart Plastic \r\n 185 mm\r\n,X,Tabletops,Cutlery,NIL,SLV,50/SLV X 20,,MPM Marketing Service,CA-PCBK,GST,CTN,20,0,0,3.42,SLV,GST,,0,1,0,0,0,0,0,3.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,50.55,,
PPB0061,MP.PB-BB3..Tripple Bottle P/B,B,S,I,11591,41071,51081,Triple Bottle Paper Bags\r\n High Wet Strength  Brown\r\n Triple\r\n440 x 225 x 112 mm,X,Bags,Bottle Paper Bags,NIL,REAM,250 Bags / Ream,,MPM Marketing Service,PB-BB3,GST,REAM,1,0,0,26.72,REAM,GST,,0,1,0,0,0,0,0,26.72,16.5,16.5,16.5,16.5,16.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,19.76,,
